b/y Value	Cost
1.4		8850.0268
1.4001		8850.1886
1.4002		8850.3504
1.4003		8850.5122
1.4004		8850.674
1.4005		8850.8358
1.4006		8850.9976
1.4007		8851.1594
1.4008		8851.3212
1.4009		8851.483
1.401		8851.6448
1.4011		8851.8471
1.4012		8852.0089
1.4013		8852.1707
1.4014		8852.3325
1.4015		8852.4943
1.4016		8852.6561
1.4017		8852.8179
1.4018		8852.9797
1.4019		8853.1415
1.402		8853.3033
1.4021		8853.4651
1.4022		8853.6269
1.4023		8853.7887
1.4024		8853.9505
1.4025		8854.1124
1.4026		8854.2742
1.4027		8854.436
1.4028		8854.5978
1.4029		8854.7596
1.403		8854.9214
1.4031		8855.0832
1.4032		8855.245
1.4033		8855.4068
1.4034		8855.5686
1.4035		8855.7304
1.4036		8855.8922
1.4037		8856.054
1.4038		8856.2158
1.4039		8856.3776
1.404		8856.5394
1.4041		8856.7012
1.4042		8856.863
1.4043		8857.0248
1.4044		8857.1866
1.4045		8857.3484
1.4046		8857.5102
1.4047		8857.672
1.4048		8857.8338
1.4049		8857.9956
1.405		8858.1574
1.4051		8858.3193
1.4052		8858.4811
1.4053		8858.6429
1.4054		8858.8047
1.4055		8858.9665
1.4056		8859.1283
1.4057		8859.2901
1.4058		8859.4519
1.4059		8859.6137
1.406		8859.7755
1.4061		8859.9373
1.4062		8860.0991
1.4063		8860.2609
1.4064		8860.4227
1.4065		8860.5845
1.4066		8860.7463
1.4067		8860.9081
1.4068		8861.0699
1.4069		8861.2317
1.407		8861.3935
1.4071		8861.5553
1.4072		8861.7171
1.4073		8861.8789
1.4074		8862.0407
1.4075		8862.2025
1.4076		8862.3643
1.4077		8862.5262
1.4078		8862.688
1.4079		8862.8498
1.408		8863.0116
1.4081		8863.1734
1.4082		8863.3352
1.4083		8863.497
1.4084		8863.6588
1.4085		8863.8206
1.4086		8863.9824
1.4087		8864.1442
1.4088		8864.306
1.4089		8864.4678
1.409		8864.6296
1.4091		8864.7914
1.4092		8864.9532
1.4093		8865.115
1.4094		8865.2768
1.4095		8865.4386
1.4096		8865.6004
1.4097		8865.7622
1.4098		8865.924
1.4099		8866.0858
1.41		8866.2476
1.4101		8866.4094
1.4102		8866.5712
1.4103		8866.7331
1.4104		8866.8949
1.4105		8867.0567
1.4106		8867.2185
1.4107		8867.3803
1.4108		8867.5421
1.4109		8867.7039
1.411		8867.8657
1.4111		8868.0275
1.4112		8868.1893
1.4113		8868.3511
1.4114		8868.5129
1.4115		8868.6747
1.4116		8868.8365
1.4117		8868.9983
1.4118		8869.1601
1.4119		8869.3219
1.412		8869.4837
1.4121		8869.686
1.4122		8869.8478
1.4123		8870.0096
1.4124		8870.1714
1.4125		8870.3332
1.4126		8870.495
1.4127		8870.6568
1.4128		8870.8186
1.4129		8870.9804
1.413		8871.1422
1.4131		8871.304
1.4132		8871.4658
1.4133		8871.6276
1.4134		8871.7894
1.4135		8871.9512
1.4136		8872.113
1.4137		8872.2748
1.4138		8872.4366
1.4139		8872.5984
1.414		8872.7602
1.4141		8872.922
1.4142		8873.0839
1.4143		8873.2457
1.4144		8873.4075
1.4145		8873.5693
1.4146		8873.7311
1.4147		8873.8929
1.4148		8874.0547
1.4149		8874.2165
1.415		8874.3783
1.4151		8874.5401
1.4152		8874.7019
1.4153		8874.8637
1.4154		8875.0255
1.4155		8875.1873
1.4156		8875.3491
1.4157		8875.5109
1.4158		8875.6727
1.4159		8875.8345
1.416		8875.9963
1.4161		8876.1581
1.4162		8876.3199
1.4163		8876.4817
1.4164		8876.6435
1.4165		8876.8053
1.4166		8876.9671
1.4167		8877.1289
1.4168		8877.2908
1.4169		8877.4526
1.417		8877.6144
1.4171		8877.7762
1.4172		8877.938
1.4173		8878.0998
1.4174		8878.2616
1.4175		8878.4234
1.4176		8878.5852
